rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
226,31,13293,supports_refusal,0.03271484375,0.03271484375,0.03271484375,0.0,1.0,1.0
227,2,4786,supports_refusal,0.03271484375,0.03271484375,0.03271484375,0.0,1.0,1.0
228,11,789,supports_refusal,0.03271484375,0.03271484375,0.03271484375,0.0,1.0,1.0
229,31,13414,supports_refusal,0.03271484375,0.03271484375,0.03271484375,0.0,1.0,1.0
230,30,3843,suppresses_refusal,-0.03271484375,0.03271484375,0.03271484375,0.0,0.0,1.0
231,31,1313,suppresses_refusal,-0.03271484375,0.03271484375,0.03271484375,0.0,0.0,1.0
232,30,2792,suppresses_refusal,-0.032470703125,0.032470703125,0.032470703125,0.0,0.0,1.0
233,25,902,suppresses_refusal,-0.032470703125,0.032470703125,0.032470703125,0.0,0.0,1.0
234,28,545,suppresses_refusal,-0.032470703125,0.032470703125,0.032470703125,0.0,0.0,1.0
235,27,13174,supports_refusal,0.032470703125,0.032470703125,0.032470703125,0.0,1.0,1.0
236,30,13087,supports_refusal,0.032470703125,0.032470703125,0.032470703125,0.0,1.0,1.0
237,31,13183,suppresses_refusal,-0.032470703125,0.032470703125,0.032470703125,0.0,0.0,1.0
238,23,6046,supports_refusal,0.032470703125,0.032470703125,0.032470703125,0.0,1.0,1.0
239,28,6033,supports_refusal,0.0322265625,0.0322265625,0.0322265625,0.0,1.0,1.0
240,12,10137,suppresses_refusal,-0.0322265625,0.0322265625,0.0322265625,0.0,0.0,1.0
241,29,108,supports_refusal,0.0322265625,0.0322265625,0.0322265625,0.0,1.0,1.0
242,30,7146,suppresses_refusal,-0.0322265625,0.0322265625,0.0322265625,0.0,0.0,1.0
243,31,5535,suppresses_refusal,-0.031982421875,0.031982421875,0.031982421875,0.0,0.0,1.0
244,31,9387,suppresses_refusal,-0.031982421875,0.031982421875,0.031982421875,0.0,0.0,1.0
245,30,2927,supports_refusal,0.03173828125,0.03173828125,0.03173828125,0.0,1.0,1.0
246,31,1351,supports_refusal,0.03173828125,0.03173828125,0.03173828125,0.0,1.0,1.0
247,31,11638,suppresses_refusal,-0.03173828125,0.03173828125,0.03173828125,0.0,0.0,1.0
248,31,8990,suppresses_refusal,-0.031494140625,0.031494140625,0.031494140625,0.0,0.0,1.0
249,31,4373,supports_refusal,0.031494140625,0.031494140625,0.031494140625,0.0,1.0,1.0
250,31,5335,suppresses_refusal,-0.03125,0.03125,0.03125,0.0,0.0,1.0
251,12,5760,suppresses_refusal,-0.03125,0.03125,0.03125,0.0,0.0,1.0
252,29,9117,suppresses_refusal,-0.0311279296875,0.0311279296875,0.0311279296875,0.0,0.0,1.0
253,26,13992,suppresses_refusal,-0.0308837890625,0.0308837890625,0.0308837890625,0.0,0.0,1.0
254,28,9928,supports_refusal,0.03076171875,0.03076171875,0.03076171875,0.0,1.0,1.0
255,25,1685,supports_refusal,0.03076171875,0.03076171875,0.03076171875,0.0,1.0,1.0
256,24,5504,suppresses_refusal,-0.0306396484375,0.0306396484375,0.0306396484375,0.0,0.0,1.0
257,31,2012,supports_refusal,0.030517578125,0.030517578125,0.030517578125,0.0,1.0,1.0
258,31,13336,supports_refusal,0.030517578125,0.030517578125,0.030517578125,0.0,1.0,1.0
259,31,3022,suppresses_refusal,-0.0303955078125,0.0303955078125,0.0303955078125,0.0,0.0,1.0
260,24,2777,supports_refusal,0.0303955078125,0.0303955078125,0.0303955078125,0.0,1.0,1.0
261,30,559,supports_refusal,0.0301513671875,0.0301513671875,0.0301513671875,0.0,1.0,1.0
262,28,6170,suppresses_refusal,-0.030029296875,0.030029296875,0.030029296875,0.0,0.0,1.0
263,31,13812,suppresses_refusal,-0.030029296875,0.030029296875,0.030029296875,0.0,0.0,1.0
264,5,14319,supports_refusal,0.0299072265625,0.0299072265625,0.0299072265625,0.0,1.0,1.0
265,31,12933,suppresses_refusal,-0.02978515625,0.02978515625,0.02978515625,0.0,0.0,1.0
266,28,12067,suppresses_refusal,-0.029296875,0.029296875,0.029296875,0.0,0.0,1.0
267,29,9228,suppresses_refusal,-0.029296875,0.029296875,0.029296875,0.0,0.0,1.0
268,31,8950,supports_refusal,0.029296875,0.029296875,0.029296875,0.0,1.0,1.0
269,31,3493,suppresses_refusal,-0.029296875,0.029296875,0.029296875,0.0,0.0,1.0
270,30,10963,supports_refusal,0.029052734375,0.029052734375,0.029052734375,0.0,1.0,1.0
271,24,9812,suppresses_refusal,-0.0289306640625,0.0289306640625,0.0289306640625,0.0,0.0,1.0
272,31,1793,suppresses_refusal,-0.028564453125,0.028564453125,0.028564453125,0.0,0.0,1.0
273,30,10322,supports_refusal,0.028564453125,0.028564453125,0.028564453125,0.0,1.0,1.0
274,31,3685,suppresses_refusal,-0.028564453125,0.028564453125,0.028564453125,0.0,0.0,1.0
275,31,7506,supports_refusal,0.0283203125,0.0283203125,0.0283203125,0.0,1.0,1.0
276,30,10431,suppresses_refusal,-0.0281982421875,0.0281982421875,0.0281982421875,0.0,0.0,1.0
277,30,11663,suppresses_refusal,-0.028076171875,0.028076171875,0.028076171875,0.0,0.0,1.0
